web-scraper-order,web-scraper-start-url,reparto,reparto-href,title,price
"1525363440-1451","https://www.cosicomodo.it/ilgigante/varallo-pombia/pages/tutte-le-categorie","Salumi da banco","https://www.cosicomodo.it/ilgigante/varallo-pombia/reparti/salumi-formaggi/salumi-da-banco/c/20107","PANCETTA ARROTOLATA SENZA COTENNA","9,80 €/KG (-34%)"
"1525363380-1071","https://www.cosicomodo.it/ilgigante/varallo-pombia/pages/tutte-le-categorie","Crostacei","https://www.cosicomodo.it/ilgigante/varallo-pombia/reparti/pesce/crostacei/c/20062","CODE DI GAMBERO ARGENTINA SCONGELATO","22,90 €/KG"
"1525363326-713","https://www.cosicomodo.it/ilgigante/varallo-pombia/pages/tutte-le-categorie","Pizza e torte salate","https://www.cosicomodo.it/ilgigante/varallo-pombia/reparti/gelati-e-surgelati/pizza-e-torte-salate/c/20053","MamaMia Pizza Margherita 300 g","€ 1,59"
"1525363269-391","https://www.cosicomodo.it/ilgigante/varallo-pombia/pages/tutte-le-categorie","Pulizia stoviglie","https://www.cosicomodo.it/ilgigante/varallo-pombia/reparti/tutto-per-la-casa/pulizia-stoviglie/c/20101","DIXAN PIATTI Segreti Bicarbonato e Acini d'Uva 650 ml.","€ 1,58 (-50%)"
"1525363313-627","https://www.cosicomodo.it/ilgigante/varallo-pombia/pages/tutte-le-categorie","Alcolici e aperitivi","https://www.cosicomodo.it/ilgigante/varallo-pombia/reparti/bevande-vini-liquori/alcolici-e-aperitivi/c/20008","Grand Marnier Nuit Parisienne Liqueur Cordon Rouge 70 cl","€ 18,99"
"1525363280-465","https://www.cosicomodo.it/ilgigante/varallo-pombia/pages/tutte-le-categorie","Rasatura e depilazione","https://www.cosicomodo.it/ilgigante/varallo-pombia/reparti/cura-della-persona/rasatura-e-depilazione/c/20035","Gillette Mach3 Turbo 1 Rasoio","€ 5,20"
"1525363363-960","https://www.cosicomodo.it/ilgigante/varallo-pombia/pages/tutte-le-categorie","Pasta e riso","https://www.cosicomodo.it/ilgigante/varallo-pombia/reparti/prodotti-alimentari/pasta-e-riso/c/20070","IL GIGANTE Riso superfino Carnaroli Sottovuoto 1 kg","€ 2,98"
"1525363320-680","https://www.cosicomodo.it/ilgigante/varallo-pombia/pages/tutte-le-categorie","Bibite e succhi","https://www.cosicomodo.it/ilgigante/varallo-pombia/reparti/bevande-vini-liquori/bibite-e-succhi/c/20009","Zuegg Skipper Senza Zuccheri Aggiunti* Ananas 330 ml","€ 0,94"
"1525363328-723","https://www.cosicomodo.it/ilgigante/varallo-pombia/pages/tutte-le-categorie","Verdure e minestroni","https://www.cosicomodo.it/ilgigante/varallo-pombia/reparti/gelati-e-surgelati/verdure-e-minestroni/c/20054","McCain Frit'up 2 x 90 g","€ 1,99"
"1525363311-617","https://www.cosicomodo.it/ilgigante/varallo-pombia/pages/tutte-le-categorie","Alimentazione bambini","https://www.cosicomodo.it/ilgigante/varallo-pombia/reparti/tutto-per-il-bambino/alimentazione-bambini/c/20094","Aptamil 3 Latte di crescita 700 g","€ 8,10"
"1525363328-718","https://www.cosicomodo.it/ilgigante/varallo-pombia/pages/tutte-le-categorie","Verdure e minestroni","https://www.cosicomodo.it/ilgigante/varallo-pombia/reparti/gelati-e-surgelati/verdure-e-minestroni/c/20054","LA VALLE DEGLI ORTI LE ZUCCHINE zucchine affettate surgelate 450g","€ 1,65"
"1525363335-760","https://www.cosicomodo.it/ilgigante/varallo-pombia/pages/tutte-le-categorie","Gelati","https://www.cosicomodo.it/ilgigante/varallo-pombia/reparti/gelati-e-surgelati/gelati/c/20050","Magnum Almond mandorle 4 pezzi 440 ml","€ 3,29"
"1525363307-592","https://www.cosicomodo.it/ilgigante/varallo-pombia/pages/tutte-le-categorie","Alimenti per cani","https://www.cosicomodo.it/ilgigante/varallo-pombia/reparti/amici-animali/alimenti-per-cani/c/20003","Full Riso soffiato vitaminizzato 2 kg","€ 4,39"
"1525363261-334","https://www.cosicomodo.it/ilgigante/varallo-pombia/pages/tutte-le-categorie","Giardinaggio","https://www.cosicomodo.it/ilgigante/varallo-pombia/reparti/tempo-libero/giardinaggio/c/20090","FIORIERA ETIKA CM 48 CON SOTTOVASO A RISERVA D'ACQUA COLORE SALVIA","€ 4,80"
"1525363438-1446","https://www.cosicomodo.it/ilgigante/varallo-pombia/pages/tutte-le-categorie","Affettati","https://www.cosicomodo.it/ilgigante/varallo-pombia/reparti/salumi-formaggi/affettati/c/20078","Negroni Salame Riserva 80 g","€ 3,05"
"1525363347-847","https://www.cosicomodo.it/ilgigante/varallo-pombia/pages/tutte-le-categorie","Snack salati","https://www.cosicomodo.it/ilgigante/varallo-pombia/reparti/prodotti-alimentari/snack-salati/c/20074","San Carlo Dixi 105 g","€ 1,53"
"1525363326-707","https://www.cosicomodo.it/ilgigante/varallo-pombia/pages/tutte-le-categorie","Pizza e torte salate","https://www.cosicomodo.it/ilgigante/varallo-pombia/reparti/gelati-e-surgelati/pizza-e-torte-salate/c/20053","BUITONI PIZZA RICCA SALAMINO PICCANTE Pizza surgelata con salamino piccante 320g (1 pizza)","€ 2,56"
"1525363267-378","https://www.cosicomodo.it/ilgigante/varallo-pombia/pages/tutte-le-categorie","Accessori cucina","https://www.cosicomodo.it/ilgigante/varallo-pombia/reparti/tutto-per-la-casa/accessori-cucina/c/20096","SET PIATTO PIANO+PIATTO FRUTTA LINEA BICOLOR ARANCIO/GIALLO","€ 3,96"
"1525363330-735","https://www.cosicomodo.it/ilgigante/varallo-pombia/pages/tutte-le-categorie","Piatti pronti surgelati","https://www.cosicomodo.it/ilgigante/varallo-pombia/reparti/gelati-e-surgelati/piatti-pronti-surgelati/c/20052","Findus Misto di Mare Bianco 400 g","€ 5,38"
"1525363278-453","https://www.cosicomodo.it/ilgigante/varallo-pombia/pages/tutte-le-categorie","Parafarmacia","https://www.cosicomodo.it/ilgigante/varallo-pombia/reparti/cura-della-persona/parafarmacia/c/20033","Off! Lozione 100 ml","null"
"1525363399-1170","https://www.cosicomodo.it/ilgigante/varallo-pombia/pages/tutte-le-categorie","Yogurt","https://www.cosicomodo.it/ilgigante/varallo-pombia/reparti/latte-burro-uova-yogurt/yogurt/c/20059","Activia Fibre e Semi Miele e semi 4 x 125 g","€ 2,69"
"1525363388-1098","https://www.cosicomodo.it/ilgigante/varallo-pombia/pages/tutte-le-categorie","Carne ovina","https://www.cosicomodo.it/ilgigante/varallo-pombia/reparti/carne/carne-ovina/c/20014","LOMBATINE D'AGNELLONE IGP EXTREMADURA CORDEREX","18,50 €/KG"
"1525363451-1515","https://www.cosicomodo.it/ilgigante/varallo-pombia/pages/tutte-le-categorie","Frutta fresca","https://www.cosicomodo.it/ilgigante/varallo-pombia/reparti/frutta-e-verdura/frutta-fresca/c/20036","BANANE BIO","€ 1,68 (-23%)"
"1525363280-464","https://www.cosicomodo.it/ilgigante/varallo-pombia/pages/tutte-le-categorie","Rasatura e depilazione","https://www.cosicomodo.it/ilgigante/varallo-pombia/reparti/cura-della-persona/rasatura-e-depilazione/c/20035","Oxy esthétique Crema Decolorante 8 kit monouso in bustine pre-dosate 75 ml","€ 6,96"
"1525363343-824","https://www.cosicomodo.it/ilgigante/varallo-pombia/pages/tutte-le-categorie","Alimenti vegetali","https://www.cosicomodo.it/ilgigante/varallo-pombia/reparti/prodotti-alimentari/alimenti-vegetali/c/20077","Kioene Cotoletta vegetale 200 g","€ 2,99"
